"","number","snippet","type_of_material"
"280",280,"speaks at laying of cornerstone of memorial at Hill School in Penn.","Article"
"281",281,"The opening game in the gridiron play which will determine the scholastic football champions of Manhattan and the Bronx will be fired today when De Witt Clinton's Red and Black eleven clashes with Stuyvesant, and High School of Commerce engages th...","Article"
"282",282,"PRINCETON, N.J., Oct. 31.--West Virginia's big team has come out of the mountains to do battle with Princeton's Orange and Black eleven. The latest advises reported the mountaineers almost here, a stop having been made for the night at Philadelphi...","Article"
"283",283,"","Article"
"284",284,"","Article"
"285",285,"Sol Metzger's Union College team, with the dubious record of three defeats in four games, will be Columbia's opponent on South Field this afternoon. Both elevens, somewhat battered in their last encounters a week ago, will have new faces in their ...","Article"
"286",286,"","Article"
"287",287,"","Article"
"288",288,"","Article"
"289",289,"","Article"
"290",290,"","Article"
"291",291,"MIDDLETOWN, Conn., Nov. 1.--With Captain Harman and Boote both playing heady, smashing games, the one in a series of long end runs and spectacular vaults into the line, and the other with his good too, Wesleyan won from its old rival, Williams, 16...","Article"
"292",292,"BOOTH TARKINGTON, whom some have regarded as holding the last literary citadel against the onrush  ing movies, has capitulated, or else he has become convinced that the screen has improved to the point of revealing artistic possibilities.  ","Article"
"293",293,"","Article"
"294",294,"","Article"
"295",295,"SWARTHMORE, Penn., Nov. 1.--The narrow margin of one point separated the scores of Swarthmore and Ursinus this afternoon, after a hard battle in the mud. Swarthmore won by a score of 13  to 12.  ","Article"
"296",296,"","Article"
"297",297,"","Article"
"298",298,"dolls being received at headquarters","Article"
"299",299,"Asst Dist Atty Lewis suggests that bur be established in connection with Bur of Missing Persons of N Y C Police Dept","Article"
"300",300,"M. Abelman points out advantages of federation, lr","Letter"
"301",301,"gun raids will be investigated by Comr Roper","Article"
"302",302,"mails sent abroad despite strike, reports P. O. Dept","Article"
"303",303,"Report for quarter","Article"
"304",304,"Allowances to mfrs of candy and ice cream reduced so that retail grocers may obtain greater supply","Article"
"305",305,"arrives in U. S.","Article"
"306",306,"bulletins stopped; improvement steady","Front Page"
"307",307,"The great, the paramount, the vital question at issue in the coal strike ordered by the officers of the United Mine Workers is whether the Government representing all the people of the United States has the right to intervene to protect them from ...","Editorial"
"308",308,"BERLIN, Nov. 1.--Captain Count Karl von Hertling in his reminiscences just published says his father, the Chancellor, told him that von Hindenburg and ...","Article"
"309",309,"War Dept plans to spend $12,000,000 enlarging Muscle Shoals","Article"
"310",310,"gives views","Article"
"311",311,"CHICAGO, Saturday, Nov. 1.--The bituminous coal fields of the nation this corning were in the grip of a strike in which, leaders of the union miners declared, already more than 394,600 of their members were out to remain out until the strike is se...","Article"
"312",312,"foreign ratings may be obtained by proper methods","Article"
"313",313,"The controversy between the District Attorney and the extraordinary Grand Jury growing out of the investigation of collusion charges in the recent strike of employes of the Interborough Rapid Transit Company, which began when the ...","Front Page"
"314",314,"death and career","Obituary"
"315",315,"Contributions","Article"
"316",316,"The estate of Mrs. Russell Sage, who died Nov. 4, 1918, was appraised at $49,051,045 gross and $45,261,724 net in a report filed yesterday.","Article"
"317",317,"message from Belgian sovereigns sent by carrier pigeon","Article"
"318",318,"lr by I. Markens recalling approval of his services to his country by General Assembly of Md. in 1795","Letter"
"319",319,"Foley praised by R. L. Fowler","Article"
"320",320,"Whitney, (Mrs) Gertrude V., war sculpture","Article"
"321",321,"BERLIN, Oct. 31.--Cabinet President Bauer was not too optimistic when in parliament he said ""there are unmistakable signs of a reawakening of the characteristic strenuousness of German workmen justifying our hopes that economic conditions will soo...","Front Page"
"322",322,"Treasury notes offered","Article"
"323",323,"HAMILTON, N.Y., Oct. 31.--Larry Bankart and his Colgate team left for Hanover this morning, where Colgate meets Dartmouth tomorrow afternoon in the battle for which Bankart has been preparing all season. The week saw intensive practice on Whitnall...","Article"
"324",324,"","Article"
"325",325,"Following a meeting of the League of Free Nations Association this afternoon at the Hotel Commodore about 300 women are to parade with banners up Fifth Avenue as a protest against the food ""blockade"" against Russia.  ","Article"
"326",326,"","Article"
"327",327,"","Article"
"328",328,"PHILADELPHIA, Nov. 1.--The University of Pennsylvania's aspirations for a football championship were drowned this afternoon in a sea of mud and rain on Franklin Field, when Penn State's fighting eleven literally slipped over an unexpected victory ...","Article"
"329",329,"A NEW novel by Robert Hichens, after an interval of two years or more since his last one, is announced for immediate publication by George  H. Doran Company. It is called ""Mrs. Mardon,"" and its theme is spiritualism.  ","Article"
"330",330,"The Federation of Labor and the Railway Brotherhoods unite in a call for a conference to consider the ""foundations of the structure"" of the labor movement in this country. Its ""fundamental principles"" are threatened, and there is a ...  ","Editorial"
"331",331,"","Obituary"
"332",332,"","Article"
"333",333,"","Article"
"334",334,"Lack of money to extend the rapid  transit lines on routes not provided for in the dual contracts, the threatened suspension of several of the surface lines in outlying districts, and the disintegration of big railroad systems into single companie...","Article"
"335",335,"Successful manipulation of the forward pass gave the Columbia freshmen a 14-0 victory over the St. Paul's School eleven yesterday afternoon at Garden City, L.I. The college yearlings scored first in the opening period, when Burt ran fifty yards fo...","Article"
"336",336,"","Article"
"337",337,"","Article"
"338",338,"Billy Lane of Oakland was the speed boy of the Pacific Coast League during the 1919 season. Lane batted only 256, but he managed to pilfer sixty-one bases during the season.  ","Article"
"339",339,"AMONG all the numerous producers of whipped cream and spun sugar fiction there are few who possess a touch so  light and so dexterous as that of Berta Ruck. Fairy tales in which each pretty Princess finds a gallant Prince all her own, where youth ...","Article"
"340",340,"","Article"
"341",341,"From the financial point of view the coal strike is to be measured primarily in respect to its effect upon earnings of industrial and transportation companies and in its result in dividends for many weeks after the strike is ended.  ","Article"
